Lotno	Description	LowEstimate	HighEstimate
632	Gent's Raleigh Mountain Bike (Red)	0	0
633	Lady's Raleigh Cycle	0	0
634	Gent's Oak Wardrobe	0	0
635	Oak Dresser with Linen Fold & Leaded Glass Panel Doors	0	0
636	Quantity of Glassware	0	0
637	Oak Bureau Bookcase	0	0
638	Oak Fall Front Bureau	0	0
639	Pine Chest of 3 Long & 2 Short Drawers & 2 Bedside Cabinets	0	0
640	Pine & Blue Chest of Drawers	0	0
641	White Double Wardrobe Over Drawers	0	0
642	Mahogany Mirror Backed Sideboard	0	0
643	Bamboo Bookshelf	0	0
644	Mahogany Occasional Table	0	0
645	2 Standard Lamps	0	0
646	Oak Hall Table with Pie Crust Edge	0	0
647	Large Quantity of Curtaining	0	0
648	Healthopaedic Night Nurse Single Bed & Mattress	0	0
649	3 Seat Settee with Matching Pouffe	0	0
651	Brown Leatherette High Back Chair	0	0
652	Cream Recliner Chair	0	0
653	1930's Duvet Cover	0	0
654	Art Deco Wall Mirror	0	0
655	Wicker Bookshelf	0	0
656	Child's Rocking Chair	0	0
657	Teak Coffee Table	0	0
658	Oak Stick Stand	0	0
659	Green Patterned 3 Piece Suite	0	0
660	Circular Coffee Table	0	0
661	Circular Coffee Table	0	0
662	Black Leatherette Easy Chair	0	0
663	3 Piece Conservatory Suite	0	0
664A	2 Drawer Beech Unit	0	0
664B	Television Unit	0	0
664	Oak Circular Coffee Table	0	0
665	2 Pine Picture Frames	0	0
666	1930's Pouffe	0	0
667	2 Seat Cane Conservatory Suite	0	0
668	2 Bamboo Chairs & Glazed Table	0	0
669	Lloyd LoomType Chair	0	0
670	Edwardian Oak High Backed Chair	0	0
671	4 Chrome & Black Dining Chairs	0	0
672	4 Oak Art Deco Dining Chairs	0	0
673	Vax Rapid Exel Carpet Cleaner	0	0
674	Hoover 1700 Watt Vacuum Cleaner	0	0
675	Panasonic 1200 Watt Vacuum Cleaner	0	0
676	Fluorescent Light Fitting & Bath Spa	0	0
677	A Rated Condenser Tumble Dryer	0	0
678	2 Electric Desk Fans	0	0
679	Cannon Worcester 4 Ring Gas Cooker	0	0
680	Hitachi Radio & 2 Slice Electric Toaster	0	0
681	Delonghi Microwave Oven	0	0
682	Zanussi Jet System Auto Washing Machine	0	0
683	Portable Barbecue in Case	0	0
684	Kenwood Hot Plate	0	0
685	White Microwave Oven	0	0
686	Halfords Automatic Tyre Inflator	0	0
687	Bosch BOS500 Router	0	0
688	Box Containing Cine Cameras etc	0	0
689	Expresso Coffee Machine	0	0
690	Next Party Fondue Set	0	0
691	Part Fishing Pole - Landing Net - Keep Net & Barrow for Fishing Basket	0	0
692	Stainless Steel Sink	0	0
693	Light Beech Sideboard	0	0
694	Pine Wall Shelf	0	0
695	Ironing Board - Clothes Airier & Baby Gate	0	0
696	Norfrost Chest Freezer	0	0
697	Chrome Trolley	0	0
698	Flymo Electric Mower	0	0
699	2 Children's Car Seats	0	0
700	Box of Old Metal Collectables Including Tilley Lamp etc	0	0
701	Panasonic Digital Receiver - Philips DVD etc	0	0
702	2 Boxes of Part Dinner Services	0	0
703	Collection of 45 Records & Audio Cassette Cabinet	0	0
704	Toshiba DVD Player & Sky Box	0	0
705	Look & Listen Activity Laptop	0	0
706	Swann Professional Iron	0	0
707	4 Boxes of Bric-a-Brac Including China - Tea Services - Mugs etc	0	0
708	Morphy Richards Steamer - Wine Rack & Kodak Digital Camera	0	0
709	Sewing Machine in Case	0	0
710	Binatone Telephone	0	0
711	9 Boxes of Books	0	0
712	Bag Containing Ratchet Straps	0	0
713	Oak Tool Box & Contents	0	0
714	3 Fold-Away Chairs	0	0
715	Oil Filled Electric Radiator	0	0
716	1960's Teak Coffee Table	0	0
717	Light Oak Long John Coffee Table	0	0
718	Sheldon Log Effect Electric Fire	0	0
719	GEC Electric Coal Effect Fire	0	0
720	Pair of Framed Marine Prints	0	0
721	Oak Drop Leaf Table	0	0
721A	CD Unit in Light Wood	0	0
722	Collection of Classical Records	0	0
723	Box of Figurines	0	0
724	Jones Sewing Machine in Case	0	0
725A	2 Boxes of Bric-a-Brac Including Hitachi Camera etc	0	0
725	Oak Drop Leaf Table	0	0
726	Box Containing Bric-a-Brac	0	0
727	Teak Drop Leaf Table	0	0
728	Oak Drop Leaf Table	0	0
729	Horse Saddle	0	0
730	Quarter Size Snooker Table	0	0
731	Light Beech Double Mirrored Wardrobe to be Erected	0	0
732A	Oil Filled Radiator	0	0
732	Black & Decker Work Bench	0	0
733	Candy Tumble Dryer	0	0
734	Oak Tea Trolley	0	0
735	Oak Deco Dining Table	0	0
736	Oak Deco Sideboard	0	0
737	Complete Games Set	0	0
738	2 Battery Operated Dog Toys	0	0
739	1950's Fall Front Bureau	0	0
740	Gilt Framed Mirror	0	0
741	Modern Wall Mirror	0	0
742	Rise & Fall Disability Chair	0	0
743	Disability Walking Aid	0	0
744	Folding Wheelchair	0	0
745	Wicker Ottoman - 2 Wicker Linen Baskets - Picture Frames & Tin of Buttons	0	0
746	Box Containing CDs etc	0	0
747	Box Containing Hornsea Pottery Wares etc	0	0
748	Box Containing Toaster - Kitchenware etc	0	0
749	Photo Smart Copier - Playstation 2 Games etc	0	0
750	Aluminium CD Storage Case	0	0
751	2 Aluminium CD Storage Boxes	0	0
752	8 Lledo Days Gone By Boxed Vehicles etc	0	0
753	Collection of Postcards	0	0
754A	Oil Filled Radiator	0	0
754	2 Old Company Seals	0	0
755	Collection of Old Records	0	0
756	Assorted Framed Prints	0	0
757	Assorted Framed Prints	0	0
758	Exercise Machine - Steam Iron & Collection of Children's Games	0	0
759	Collection of Framed Prints	0	0
760	3 Branch Hanging Chandelier with Shades	0	0
761	Tray of Glassware & Ornaments	0	0
762	Silver Plated Gallery Tray - Condiment Set & Teapot	0	0
763	2 Old Cameras	0	0
764	Tray of Wrist Watches	0	0
765	Tray of Costume Jewellery	0	0
766	2 Trays of Costume Jewellery	0	0
767	Tray of Old Christmas Decorations	0	0
768	2 Trays of Costume Jewellery	0	0
769	Box Containing Glassware - Pottery - Cutlery etc	0	0
770	Tray of Denby Ware	0	0
771	2 Trays of Collectable China & Glassware	0	0
772	2 China Shire Horse Ornaments	0	0
773	Pair of Wooden Candle Sticks	0	0
774	Copper Warming Pan	0	0
775	2 Deco Light Shades	0	0
776	Deco Light Shade	0	0
777	Deco Lamp Shade	0	0
778	4 Collectable Jugs	0	0
779	Tray Containing Green Glassware & Collectable Tea Service	0	0
780	Tray of Part Tea Services	0	0
781	Tray Containing Dressing Table Set	0	0
782	Tray of Collectable China & Glassware	0	0
783	2 Collectable Whisky Bottles & Set of Babycham Glasses	0	0
784	Tray of Glassware	0	0
785	3 Puppets	0	0
786	Meat Plate - Cut Glass Bowl etc	0	0
787	Blue & White Meat Plate - Plant Pedestal Stand & Ceramic Windmill	0	0
788	6 Pieces of Poole Pottery	0	0
789	Tray of Sylvac Wares Including Rabbit - Duck & Vases	0	0
790	2 Trays of China & Glassware	0	0
791	Tray of Denby Wheatsheaf Ware	0	0
792	Jug & Bowl	0	0
793	Large Capo Di Monte Jug	0	0
794	Large Capo Di Monte Coffee Pot	0	0
795	Burleigh Ware Acorn Teapot - Condiment Set & Biscuit Barrel	0	0
796	Woods Burslem Decorative Fruit Set - Polish Dish & Jug	0	0
797	5 Hummel Figurines (Some A/F)	0	0
798	Collection of Silver Platedware	0	0
799	Costume Doll in Box - Lela Florence Italy	0	0
800	4 Piece Silver Plated Tea Set	0	0
801	3 Sylvac Vegetable Jars	0	0
802	2 Boxed Power Ranger Toys	0	0
803	Quantity of Denby Arabesque Dinnerware	0	0
804	2 Denmark Wall Plates	0	0
805	Collection of Silver Plate etc	0	0
806	4 German Leaf Plates	0	0
807	2 Vintage Hat Boxes	0	0
808	2 Royal Doulton Royalty Plates	0	0
809	Pair of Mark Scheffel Binoculars	0	0
810	Asian Parasol	0	0
811	Quantity of Cut Glassware	0	0
812	Hunting Scene Teapot - Sugar Bowl & Milk Jug	0	0
813	2 Trays Containing Large Jug - Glass Vase - China Ware etc	0	0
814	Sylvac Poodle - Corgi & Terrier Figures	0	0
815	2 Cased Sets of Cutlery & Loose Cutlery	0	0
816	Sadler Celery Vase - Sylvac Vase & Torquay Dish	0	0
817	Hornsea Pottery Tea Service	0	0
818	Tray of Coloured Glassware	0	0
819	Large Quantity of Bayko Building Bricks	0	0
820	Bol's Musical Bottle & Coronet Camera	0	0
821	Roslyn China Tea Service & Another Part Service	0	0
822I	Costume Brooch & Necklace	0	0
822H	Tray of Costume Jewellery	0	0
822E	Silver Necklace	0	0
822D	Win Lighter in Case	0	0
822C	Tray of Costume Jewellery	0	0
822A	Fashion Bracelet	0	0
822B	Bag Containing 2 Bracelets - Possibly Silver?	0	0
822G	2 Pairs of Fashion Earrings	0	0
822	Tray of Costume Jewellery	0	0
822F	Silver Locket & Chain	0	0
823	Rattan Table & 4 Chairs	0	0
824	Rattan Table & 4 Chairs	0	0
825	Rattan Table & 4 Chairs	0	0
826	Rattan Table & 4 Chairs	0	0
827	Rattan Table & 4 Chairs	0	0
828	Large Quantity of Curtains	0	0
829	Large Quantity of Curtains	0	0
830	Large Quantity of Curtains	0	0
831	4 Snooker Cues	0	0
832	Red Leather High Backed Chair	0	0
833	Simulated Oak Dining Table	0	0
834	Complete Home Theatre Surround System	0	0
835	PC Tower - Monitor - Keyboard & Mouse - HP Printer & Computer Station Desk	0	0
836	Lamp in the Form of a Tortoise	0	0
837	Glazed Top Office Desk	0	0
838	Tiffany Style Table Lamp	0	0
839	Modern Wall Mirror	0	0
840	Office Swivel Chair (Black)	0	0
841	Uplighter	0	0
842	Electric Pedestal Fan	0	0
843	Gilt Framed Wall Mirror	0	0
844	Beige Leather 3 Seat Settee & Pouffe	0	0
845	Rare Sheepkin Rug	0	0
846	Silver Framed Wall Mirror	0	0
847	Modern New York Sky Scraper Worker's Print	0	0
848	2 Modern Prints	0	0
849	Glass Topped Coffee Table	0	0
850	Ebony Figure Head	0	0
851	Glass Topped Coffee Table	0	0
852	Chess Board & Set	0	0
853	Glazed Top Dining Table & 6 Chairs	0	0
854	2 Cut Glass Decanters & 2 Cut Glass Vases	0	0
855	Bottle of Courvoisier Cognac	0	0
856	Marble Topped Coffee Table	0	0
857	Glass Topped Circular Dining Table & 3 Chairs	0	0
858	Hornsea Pottery Dinner Service - Rose	0	0
859	Tile Topped Pine Effect Circular Extending Dining Table & 4 Chairs	0	0
860	Large Quantity of Autumn Leaves Dinner Ware	0	0
861	Oak Wall Barometer	0	0
862	3D Antiques Picture	0	0
863	Inlaid Coffee Table	0	0
864	Oak Framed Wall Mirror	0	0
865	Patterned Glazed Top Coffee Table	0	0
866	Framed Needlwork Picture	0	0
867	Half Moon Hall Table	0	0
868	Beige Floor Rug	0	0
869	Childrens Party Dress	0	0
870	Wicker Easy Chair	0	0
871	Office Chair	0	0
872	High Back Easy Chair	0	0
872A	Melamine 3 Drawer Bedside Cabinet	0	0
873	Battery Operated Power Bike	0	0
874	Battery Operated Power Bike	0	0
875	"TV & Video Unit, Table and Piano Stool"	0	0
876	Pine Chest of Drawers	0	0
877A	Set of Scout Scales & Box of Gent's Shower Products	0	0
877	Olympia Typewriter	0	0
